municipality_code,municipality_name,period,gdp_current_brl_thousand
1600808,Vitória do Jari - AP,2021,236896.579
1700251,Abreulândia - TO,2021,112134.759
1700301,Aguiarnópolis - TO,2021,165479.833
1700350,Aliança do Tocantins - TO,2021,616571.342
1700400,Almas - TO,2021,273740.577
1700707,Alvorada - TO,2021,474111.349
1701002,Ananás - TO,2021,159769.353
1701051,Angico - TO,2021,48276.163
1701101,Aparecida do Rio Negro - TO,2021,255912.273
1701309,Aragominas - TO,2021,98441.127
1701903,Araguacema - TO,2021,240245.613
1702000,Araguaçu - TO,2021,349049.713
1702109,Araguaína - TO,2021,5239050.441
1702158,Araguanã - TO,2021,101857.801
1702208,Araguatins - TO,2021,529290.178
1702307,Arapoema - TO,2021,324522.852
1702406,Arraias - TO,2021,223309.854
1702554,Augustinópolis - TO,2021,305118.467
1702703,Aurora do Tocantins - TO,2021,58805.996
1702901,Axixá do Tocantins - TO,2021,141091.965
1703008,Babaçulândia - TO,2021,158741.478
1703057,Bandeirantes do Tocantins - TO,2021,178653.5
1703073,Barra do Ouro - TO,2021,113260.016
1703107,Barrolândia - TO,2021,122016.29
1703206,Bernardo Sayão - TO,2021,102684.048
1703305,Bom Jesus do Tocantins - TO,2021,139409.756
1703602,Brasilândia do Tocantins - TO,2021,75634.398
1703701,Brejinho de Nazaré - TO,2021,272944.891
1703800,Buriti do Tocantins - TO,2021,161641.165
1703826,Cachoeirinha - TO,2021,58546.974
1703842,Campos Lindos - TO,2021,1004930.543
1703867,Cariri do Tocantins - TO,2021,517714.913
1703883,Carmolândia - TO,2021,69222.483
1703891,Carrasco Bonito - TO,2021,50561.097
1703909,Caseara - TO,2021,389492.608
1704105,Centenário - TO,2021,64556.878
1704600,Chapada de Areia - TO,2021,39823.896
1705102,Chapada da Natividade - TO,2021,148973.23
1705508,Colinas do Tocantins - TO,2021,862138.742
1705557,Combinado - TO,2021,76524.496
1705607,Conceição do Tocantins - TO,2021,67828.897
1706001,Couto Magalhães - TO,2021,203473.021
1706100,Cristalândia - TO,2021,177293.549
1706258,Crixás do Tocantins - TO,2021,78644.714
1706506,Darcinópolis - TO,2021,241931.656
1707009,Dianópolis - TO,2021,644829.488
1707108,Divinópolis do Tocantins - TO,2021,249235.172
1707207,Dois Irmãos do Tocantins - TO,2021,216149.33
1707306,Dueré - TO,2021,204764.51
1707405,Esperantina - TO,2021,118723.997
1707553,Fátima - TO,2021,89100.065
1707652,Figueirópolis - TO,2021,256752.183
1707702,Filadélfia - TO,2021,129323.234
1708205,Formoso do Araguaia - TO,2021,1414038.409
1708254,Tabocão - TO,2021,232897.504
1708304,Goianorte - TO,2021,193502.296
1709005,Goiatins - TO,2021,230924.169
1709302,Guaraí - TO,2021,880402.901
1709500,Gurupi - TO,2021,2648420.391
1709807,Ipueiras - TO,2021,47771.523
1710508,Itacajá - TO,2021,186259.82
1710706,Itaguatins - TO,2021,82610.655
1710904,Itapiratins - TO,2021,171522.114
1711100,Itaporã do Tocantins - TO,2021,69980.106
1711506,Jaú do Tocantins - TO,2021,97864.72
1711803,Juarina - TO,2021,44394.941
1711902,Lagoa da Confusão - TO,2021,998445.275
1711951,Lagoa do Tocantins - TO,2021,89428.78
1712009,Lajeado - TO,2021,64404.783
1712157,Lavandeira - TO,2021,37869.666
1712405,Lizarda - TO,2021,66331.66
1712454,Luzinópolis - TO,2021,71179.561
1712504,Marianópolis do Tocantins - TO,2021,252330.721
1712702,Mateiros - TO,2021,252360.284
1712801,Maurilândia do Tocantins - TO,2021,55910.557
1713205,Miracema do Tocantins - TO,2021,642002.992
1713304,Miranorte - TO,2021,390325.022
1713601,Monte do Carmo - TO,2021,296287.972
1713700,Monte Santo do Tocantins - TO,2021,75004.481
1713809,Palmeiras do Tocantins - TO,2021,95357.464
1713957,Muricilândia - TO,2021,69464.96
1714203,Natividade - TO,2021,247340.192
1714302,Nazaré - TO,2021,58139.378
1714880,Nova Olinda - TO,2021,320311.123
1715002,Nova Rosalândia - TO,2021,100914.913
1715101,Novo Acordo - TO,2021,84723.407
1715150,Novo Alegre - TO,2021,35521.072
1715259,Novo Jardim - TO,2021,42671.729
1715507,Oliveira de Fátima - TO,2021,29468.609
1715705,Palmeirante - TO,2021,185349.023
1715754,Palmeirópolis - TO,2021,170117.984
1716109,Paraíso do Tocantins - TO,2021,1513693.492
1716208,Paranã - TO,2021,315396.766
1716307,Pau D'Arco - TO,2021,91169.316
1716505,Pedro Afonso - TO,2021,848670.949
1716604,Peixe - TO,2021,733929.386
1716653,Pequizeiro - TO,2021,107606.183
1716703,Colméia - TO,2021,182795.642
1717008,Pindorama do Tocantins - TO,2021,85005.659
1717206,Piraquê - TO,2021,89940.427
1717503,Pium - TO,2021,361914.527
1717800,Ponte Alta do Bom Jesus - TO,2021,66158.254
1717909,Ponte Alta do Tocantins - TO,2021,121170.43
1718006,Porto Alegre do Tocantins - TO,2021,47042.663
1718204,Porto Nacional - TO,2021,3649421.284
1718303,Praia Norte - TO,2021,93138.597
1718402,Presidente Kennedy - TO,2021,65165.275
1718451,Pugmil - TO,2021,82663.293
1718501,Recursolândia - TO,2021,91479.791
1718550,Riachinho - TO,2021,68536.425
1718659,Rio da Conceição - TO,2021,29142.464
1718709,Rio dos Bois - TO,2021,85928.248
1718758,Rio Sono - TO,2021,111443.415
1718808,Sampaio - TO,2021,145863.184
